Name	Harmonized name	Synonym	type	allowed_values	invalid_values	allow_multiple	Description	DescriptionJa
sample_name	sample_name					false	"The sample name is a name that you choose for the sample.  Each sample name must be <span class=""attention_text"">unique</span> in a submission."	"sample name は登録者がサンプルに付ける名前です。sample name は Submission において<span class=""attention_text"">ユニーク</span>である必要があります。"
sample_title	sample_title					false	"Sample title should be short and informative. Each sample title must be <span class=""attention_text"">unique</span> in a submission.  Examples: 1) Escherichia coli O104:H4 str. C227-11 clinical isolate 2010_333_NC-6;  2) CD8+ T cells from female TSG6-knockout BALB/c mouse;  3) Human metagenome isolated from urine of healthy female."	"タイトルはサンプルをよく表す簡潔なものを記入します。 タイトルは Submission において<span class=""attention_text"">ユニーク</span>である必要があります。 例: 1) Escherichia coli O104:H4 str. C227-11 clinical isolate 2010_333_NC-6;  2) CD8+ T cells from female TSG6-knockout BALB/c mouse;  3) Human metagenome isolated from urine of healthy female."
description	description					false	A brief description for the sample.	サンプルに対する簡潔な補足情報。
organism	organism					false	"The most descriptive organism name for this sample (to the species, if relevant) in the <a href=""http://www.ncbi.nlm.nih.gov/taxonomy"">NCBI Taxonomy database</a>. If it is not in the database, provide as much information about the organism as possible and the DDBJ staff apply a new organism name to NCBI Taxonomy."	"<a href=""http://www.ncbi.nlm.nih.gov/taxonomy"">NCBI Taxonomy database</a> に登録されている最も下位のランクの生物名 (適切な場合は species まで)。データベースに登録されていない場合，未登録の生物に関する情報をできるだけ記入してください。 DDBJ スタッフが NCBI Taxonomy に未登録の生物を申請します。"
taxonomy_id	taxonomy_id		integer			false	"NCBI Taxonomy identifier. This is appropriate for individual organisms, <a href=""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&id=12908&lvl=3&lin=f&keep=1&srchmode=1&unlock"">some metagenomes and environmental samples</a>.  If it is not in the database, leave empty. The DDBJ staff apply a new organism name to NCBI Taxonomy, and then an assigned TaxID will be auto-filled."	"NCBI Taxonomy identifier. 個別の生物、<a href=""http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&id=12908&lvl=3&lin=f&keep=1&srchmode=1&unlock"">メタゲノムや環境サンプル</a>に割り当てられています。データベースに登録されていない場合，空欄にします。DDBJ スタッフが NCBI Taxonomy に未登録の生物を申請後、割り当てられた TaxID が自動的に記入されます。"
bioproject_id	bioproject_id					false	Associated BioProject accession number (PRJDB)	関連する BioProject アクセッション番号 (PRJDB)
locus_tag_prefix	locus_tag_prefix					true	"A <a href=""https://www.ddbj.nig.ac.jp/ddbj/locus_tag-e.html"">locus tag prefix</a> is for an annotated genome. A locus tag prefix cannot be changed after registration, so avoid to register a prefix following an organism name or a strain name which may be changed in the future. Enter a locus tag prefix along with a corresponding BioProject accession."	"アノテーションを記載するゲノムに対するユニークな <a href=""https://www.ddbj.nig.ac.jp/ddbj/locus_tag.html"">locus tag prefix</a>。取得した prefix は変更できません。そのため将来変わる可能性がある生物名や株名に揃えた prefix は避けてください。locus tag prefix と対応する BioProject アクセッション番号を記入します。"
strain	strain				"[""bacteria"", ""clinical isolate"", ""environmental"", ""microbial"", ""no"", ""soil"", ""sp"", ""sp."", ""strain"", ""whole organism"", ""yes"", ""subsp.*"", ""serovar*""]"	false	"Microbial or eukaryotic strain name. See <a href=""https://www.ddbj.nig.ac.jp/ddbj/identifiers-e.html"">Identifiers</a> for details."	"微生物や真核生物の株名。詳しくは<a href=""https://www.ddbj.nig.ac.jp/ddbj/identifiers.html"">識別子について</a>を参照。"
isolate	isolate					false	"Identifier of the specific individual or sample, from which this sample was obtained, typically a sample ID. See <a href=""https://www.ddbj.nig.ac.jp/ddbj/identifiers-e.html"">Identifiers</a> for details."	"サンプルが得られた個体やサンプルの識別子、典型的には Sample ID。詳しくは<a href=""https://www.ddbj.nig.ac.jp/ddbj/identifiers.html"">識別子について</a>を参照。"
breed	breed					false	"Breed name - chiefly used in domesticated animals or plants. See <a href=""https://www.ddbj.nig.ac.jp/ddbj/identifiers-e.html"">Identifiers</a> for details."	"品種の名称。主に家畜化された動物や栽培化された植物に用いられます。詳しくは<a href=""https://www.ddbj.nig.ac.jp/ddbj/identifiers.html"">識別子について</a>を参照。"
cultivar	cultivar					false	"Cultivated variety of plant. See <a href=""https://www.ddbj.nig.ac.jp/ddbj/identifiers-e.html"">Identifiers</a> for details."	"植物の栽培品種名。詳しくは<a href=""https://www.ddbj.nig.ac.jp/ddbj/identifiers.html"">識別子について</a>を参照。"
ecotype	ecotype					false	"A population within a given species displaying genetically based, phenotypic traits that reflect adaptation to a local habitat, e.g., Columbia. See <a href=""https://www.ddbj.nig.ac.jp/ddbj/identifiers-e.html"">Identifiers</a> for details."	"局所的な生育環境への適応を反映した、遺伝型に基づいた表現型特性を示す種内集団 (例: Columbia)。詳しくは<a href=""https://www.ddbj.nig.ac.jp/ddbj/identifiers.html"">識別子について</a>を参照。"
isolation_source	isolation_source	isolation_source				false	Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived.	サンプルが得られた生物学的サンプルに関する, 物理的, 環境的, かつまたは, 地理的な由来
host	host	specific host, host, nat-host				false	"The natural (as opposed to laboratory) host to the organism from which the sample was obtained. Use the full taxonomic name, eg, ""Homo sapiens""."	生物の(実験室ではない)自然界における宿主の学名 (例: Homo sapiens)
lab_host	lab_host					false	Originally meaning host on which a parasite is maintained in the lab, which may not be the same as the natural host (example hamster cells used to support a parasite normally found in mouse in the wild).	配列決定した分子を得た生物を増殖させるために実験室で使われた宿主の学名
age	age	age				false	age at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	サンプリング時の年齢。規模は種や研究に依存する。(例：アメーバに対する秒、樹木に対する世紀)
dev_stage	dev_stage	developmental stage, development stage				false	Developmental stage at the time of sampling.	サンプリング時における生物の発生段階
tissue	tissue					false	Type of tissue the sample was taken from	サンプルの組織の名称
sex	sex	sex		"[""male"", ""female"", ""pooled male and female"", ""neuter"", ""hermaphrodite"", ""intersex"", ""not determined""]"		false	"Physical sex of sampled organism. Enter one of the <a href=""https://docs.google.com/spreadsheets/d/1kh9vRllab7t7PBftd0nEBi-YbIWvFVRAiYS6F6RRBNU/edit#gid=1287828562"">controlled terms</a>."	"サンプル生物の性別。<a href=""https://docs.google.com/spreadsheets/d/1kh9vRllab7t7PBftd0nEBi-YbIWvFVRAiYS6F6RRBNU/edit#gid=1287828562"">controlled term</a> から一つを選んで入力してください。"
biomaterial_provider	biomaterial_provider					false	Name and address of the lab or PI, or a culture collection identifier	実験材料の提供元(例: culture collection identifier，Principal Investigator，研究室名)
sample_type	sample_type	sample type, sample_type, sampletype				false	Sample type, such as cell culture, mixed culture, tissue sample, whole organism, single cell, metagenomic assembly, primary cell	サンプル種別。例 cell culture, mixed culture, tissue sample, whole organism, single cell, metagenomic assembly, primary cell
collection_date	collection_date	collection date	timestamp			false	"Time of sampling (single instance or interval, eg., 2008-01-23T19:23:10Z, 2008-01-23, 2008-01, 2008, 1952-10-21T11:43Z/1952-10-21T17:43Z, 1952-10-21/1953-02-15, 1952-10/1953-02, 1952/1953)  Follow ISO 8601 standard ""YYYY-mm-dd"", ""YYYY-mm"" or ""YYYY-mm-ddThh:mm:ssZ"" (e.g., 1990-10-30, 1990-10 or 1990-10-30T14:41:36Z). Collection times must be in Coordinated Universal Time (UTC). Times without time zone are processed as UTC. Non-UTC times are converted to UTC."	サンプルを採取した日付を ISO 8601 形式で記載します。スラッシュによる範囲指定に対応しています。例: 2008-01-23T19:23:10Z, 2008-01-23, 2008-01, 2008, 1952-10-21T11:43Z/1952-10-21T17:43Z, 1952-10-21/1953-02-15, 1952-10/1953-02, 1952/1953。日時は国際標準時 (UTC) で記載します。タイムゾーンの指定が無い時間は UTC として処理され、UTC ではない時間は UTC に変換されます。
