Package name	Version	DisplayName	ShortName	EnvPackage	Description	Example	Group
Generic	1.1	Generic; version 1.1	Generic				Standard
SARS-CoV-2.cl	1.0	SARS-CoV-2: clinical or host-associated; version 1.0	SARS-CoV-2: clinical or host-associated		Use for SARS-CoV-2 samples that are relevant to public health. Required attributes include those considered useful for the rapid analysis and trace back of SARS-CoV-2 cases.		Standard
SARS-CoV-2.wwsurv	1.0	SARS-CoV-2: wastewater surveillance; version 1.0	SARS-CoV-2: wastewater surveillance		Use for SARS-CoV-2 wastewater surveillance samples that are relevant to public health. Required attributes include those considered useful for the rapid analysis and trace back of SARS-CoV-2 cases.		Standard
Microbe	1.0	Microbe; version 1.0	Microbe		Use for bacteria or other unicellular microbes when it is not appropriate or advantageous to use MIxS, Pathogen or Virus packages.		Standard
Model.organism.animal	1.0	Model organism or animal; version 1.0	Model organism or animal		Use for multicellular samples or cell lines derived from common laboratory model organisms, e.g., mouse, rat, Drosophila, worm, fish, frog, or large mammals including zoo and farm animals.		Standard
Metagenome.environmental	1.0	Metagenome or environmental; version 1.0	Metagenome or environmental		Use for metagenomic and environmental samples when it is not appropriate or advantageous to use MIxS packages.		Standard
Invertebrate	1.0	Invertebrate; version 1.0	Invertebrate		Use for any invertebrate sample.		Standard
Human	1.0	Human; version 1.0	Human		"WARNING: Only use for human samples or cell lines that have no privacy concerns. For all studies involving human subjects, it is the submitter's responsibility to ensure that the information supplied protects participant privacy in accordance with all applicable laws, regulations and institutional policies. Make sure to remove any direct personal identifiers from your submission. If there are patient privacy concerns regarding making data fully public, please submit samples and data to Japanese Genotype-phenotype Archive (JGA) database. <a href=""https://www.ddbj.nig.ac.jp/jga/index-e.html"">JGA</a> has controlled access mechanisms and is an appropriate resource for hosting sensitive patient data. 
For samples isolated from humans use the Pathogen, Microbe or appropriate MIxS package."		Standard
Plant	1.0	Plant; version 1.0	Plant		Use for any plant sample or cell line.		Standard
Virus	1.0	Virus; version 1.0	Viral		Use for all virus samples not directly associated with disease. Viral pathogens should be submitted using the Pathogen: Clinical or host-associated pathogen package.		Standard
Beta-lactamase	1.0	Beta-lactamase; version 1.0	Beta-lactamase		Use for beta-lactamase gene transformants that have antibiotic resistance data.		Standard
